username,date,text,length
Dan Storozuk,2022-01-30T23:51:47.000Z,"@GingerLyn_V2It doesn't matter.
The main argument of anti vaxxers even before the pandemic has been that vaccines have been the source of medical problems from a conspiracy perspective.
This narrative has been consistently  debunked for several years.",251
Kathy R. Elect Dems. Don't whine. Act! Daily.,2022-01-30T23:51:47.000Z,"Sneak peek of the most fun online during a pandemic!@TheOnlyDetox @joeyjayisgay @bigandmilky @thebritafilter 

It's America Needs a Queen: Drag Queens Do Democracy... and Sports! 

Feb 3, 5p PT/8p ET http://#VoterizerQuote TweetField Team 6Field Team 6@fieldteam_6 · Jan",271
JOΞYCUTLΞSS TV,2022-01-30T23:51:45.000Z,"*NEW COVID TALK: Masks EXPLAINED, Public health, U.S Pandemic History, C...",76
Edmond Dantes△⃒⃘,2022-01-30T23:51:42.000Z,"Crime in NYC is historically low, but it has risen since the pandemic. The answer isn't more police, but better structures in place to prevent poverty",150
Ken Scott,2022-01-30T23:51:41.000Z,"@flippedlipEvery year, tons of famous elderly actors die. Every year, we go off of daylight savings time around November.  Ever since the pandemic, people have decided that these normal parts of life are just too much to bear.  

I miss the old days.",250
ND Trash Panda,2022-01-30T23:51:36.000Z,This pandemic has definitely illustrated which sects of leftist ideology are totally okay with statist fascism when it suits their own personal moral values. So that's cleared a lot up for me and I do appreciate it.,216
hails is missing louis so bad,2022-01-30T23:51:31.000Z,"there’s a pandemic simulation for my management class assignment this week and i basically have to see how well i would’ve done planning to avoid the virus/ limit spread 
i’m actually pretty interested in this",209
brooke,2022-01-30T23:51:27.000Z,@dradg123@Rad_Nikki_andand@Matt9DucheneWhat do you call crying over a church gathering that could be done online when people are literally dying from a pandemic like imagine your privilege,188
chase,2022-01-30T23:51:26.000Z,- feel like i need to say covid is NOT ACTUALLY GONE we are still in a pandemic stay safe y’all,95
Aria,2022-01-30T23:51:25.000Z,"@woodruAJoe Rogan is a mixed bag for me. His anti-vaxxer tendencies are a problem, but on the other hand, his podcast w/Michael Osterholm at the beginning of the pandemic was incredibly informative. EG - Osterholm said COVID is airborne on Rogan, while gov was still saying to wash hands.",288
Sr. Koello,2022-01-30T23:51:24.000Z,"@RenaDestin@KevinKeely4and 2 othersYou know, the media took it easy on smokers during the pandemic, world wide. They could have pressed the big red panic button if they wanted to. C-19 at the very least is inflammatory to the lungs. Certain death to heavy smokers. But, somehow, I feel they were spared by media.",312
Julius Panhandle,2022-01-30T23:51:24.000Z,"Valentine's Day becomes an even greater farce the longer this pandemic stretches on. So do other Holidays, but that one in particular inspires decidedly more bitter laughter from those of us un-coupled since the start of all of this. Or is that just me being a party pooper again?",280
Mr. Bruce Leroy,2022-01-30T23:51:21.000Z,"@DarrellNelomsandand@MrNoFollowers2Yeah, but those deals are signed. And sure, anything can happen lol. If that is the case, then the sky can fall tomorrow . I’m not sure banking on another pandemic is a viable concern lol. But I get you fam lol.",246
Anne Smith,2022-01-30T23:51:19.000Z,@jkenneyandand@DuaneBrattThen perhaps premier you shouldn’t give them every opportunity to act like spoiled children. Your lack of consistent messaging throughout this pandemic has only encouraged this type of behavior. Do as I say but not as I do has come back to haunt you on so many occasions.,296
Rudy FunkMeyer,2022-01-30T23:51:16.000Z,"People talk a lot about their 20s being lost to the pandemic (with good reason) but what about those who are missing out on their early retirement years, the last times they’ll be able to travel with ease and be active?",219
Watchdawg2.0 #CANCELRIBFEST #HelpHempProtein ♡,2022-01-30T23:51:15.000Z,"·You need to support health differently in the pandemic. 
Stop subsidizing big sugar with soda purchases on the snap program. Declare carcinogenic status on processed meats @drmarkhyman @CSPIQuote TweetPresident BidenPresident Biden@POTUSUnited States government official · Jan 28When we took office, we inherited an economy in crisis.
 
But through our actions, we turned it into the fastest growing economy in 38 years.",421
Richard Fields,2022-01-30T23:51:15.000Z,"The pandemic's silver lining. Homeschooling exploded in popularity during the first full year of the pandemic. Nearly two years later, support for at-home education isn't falling.",180
Tomthunkit™,2022-01-30T23:51:13.000Z,"READ MY NEW OP-ED: God Won’t Save Us

You want Fireworks. Here’s some fire. Let’s see how it works.

God won’t save us from this novel Coronavirus pandemic. He has already given us the gifts and the tools we need to succeed.",224
Mandi,2022-01-30T23:51:08.000Z,"@boxcarmurphyTo be fair…I CHOSE being in a tiny tiny tiny travel trailer with my hubby, 2 kids, and dog, because I didn’t want to be in a rental while the owners tried to sell during a pandemic. I never thought we would be here 19 months later. I know life throws you shit!",274
Samantha Coupe,2022-01-30T23:51:02.000Z,@PRUSA1984@ERealamericanandand@tencor_7144Recovered from how shittily Trump dealt with the pandemic.,100
Paul Reynolds,2022-01-30T23:50:59.000Z,@GavTweedFace@NotthatSuzanneandand@HAZZA1962Asymptomatic transmission of disease has always been possible but it's very rare & as such irrelevant to mitigating a pandemic.,171
Korean (at all costs),2022-01-30T23:50:59.000Z,The pandemic brought about a massive redistribution of wealth back towards the rich. This is doubly injurious since this was after the Black lives protests and since Black essential workers disproportionately died. Yet they flex this cruel response to say the US is the most free,279
Mindful Public Relations,2022-01-30T23:50:55.000Z,"I’ve not been sick with anything during the #Covid_19 pandemic, not even a cold. I had to test today. And tested negative. I credit my rigorous social distancing and mask wearing, every place, every day, outside my home.GIF",223
memeorandum,2022-01-30T23:50:54.000Z,Politics After Covid - The pandemic has accelerated the increasingly reactionary turn of American liberalism (@lwoodhouse / Social Studies),139
slim shady,2022-01-30T23:50:52.000Z,I never had a issue with mask the whole pandemic but the idea of having to wear a mask into a restaurant where you’re about to take it off to eat has always puzzled me lol,171
Melinda Rogers,2022-01-30T23:50:51.000Z,Local College staff discuss Learning during the pandemic get the Scoop at the latest Local.,91
pandemic paulie,2022-01-30T23:50:50.000Z,Godsmack - Serenity (Official Music Video),43
My Name is Earth,2022-01-30T23:50:50.000Z,"@Kenzie47873698@SnowScottishand 2 othersDid you also deliver a NTY best seller, did you organise a global concert, did you START a new venture in the middle of a pandemic and still outdo them.",192
Botty McBotterson,2022-01-30T23:50:50.000Z,@Jambon90832215@amcalienhunterand 3 othersPeter McCullough also rambled like a paranoid maniac about the Johns Hopkins SPARS event. An event designed to role-play a pandemic event with leading experts involved. The fact that a doctor is shocked that an emergency preparedness event got some things right is utterly moronic,322
Sceptical Capybara,2022-01-30T23:50:49.000Z,"@Buhhzingaandand@ODChiversWhat I will say, on your point about fucknuttery, specifically that of the right-wing variety pertaining to the pandemic, is that it's been on both sides. There's reasonable positions and equally unreasonable ones on either side of the debate, I'm personally a big lefty but lib.",305
Ning Wu,2022-01-30T23:50:48.000Z,"@WuMargaretandand@paix120To be fair, I also didn't expect Biden to do less than Trump to contain the pandemic and protect the vulnerable.",137
Donnie R Besch,2022-01-30T23:50:45.000Z,@Texan1283andand@GregAbbott_TX100% 'Spot On'Grabbit Abbott isn't even smart enough to 'Rescind All' EO's relating to the Pandemic. Too busy 'Raking In' Big Business $$$...Has he made his trip to Cali-forn-ia to collects his 'Out of State' Payroll Yet???#FollowTheMoney#SchoolChoice #StopCancelCulture,300
Richard Knack,2022-01-30T23:50:44.000Z,@PierrePoilievreWe will have more freedom when people get vaccinated to slow down the Pandemic. Hospitals in Canada are overwhelmed. I will be more optimistic when Canadians are fully vaccinated to help each other with freedom.,227
فرناندو,2022-01-30T23:50:44.000Z,If you got a French Bulldog 2020 and on you got a pandemic Frenchie,68
Darrell Spins,2022-01-30T23:50:44.000Z,"@skepticalzebraLook after people during a pandemic and get rewarded with.... threats.

The importance of this win cannot be overstated. It sets a precedent for the R.O.W. 

Hoping this marks day 1 of the end of the incoherent absurdities ALL mandates are based on.",264
Truthy_Truth,2022-01-30T23:50:42.000Z,"@Winnipegred@JaneDoe89034155andand@DAnon1717And the restrictions are lower than what they were a year ago. Unfortunately, the holdouts are complicating things. It's not as deadly, but it is still a pandemic that IS risking the overload of our collective health system.",268
Sight Magazine,2022-01-30T23:50:41.000Z,"Postcards: Amid pandemic and protest, Olympics return to a changed China. @SightMagazine #Postcards #BeijingOlympics #China #Xinjiang #Olympicprotests #Uyghurs #PengShuai #diplomaticboycottssightmagazine.com.ausightmagazine.com.auPostcards: Amid pandemic and protest, Olympics return to a changed ChinaPostcards: Amid pandemic and protest, Olympics return to a changed ChinaTONY MUNROE, of Reuters, reports from Beijing where the Winter Olympics open this week...TONY MUNROE, of Reuters, reports from Beijing where the Winter Olympics open this week...",552
Sight Magazine,2022-01-30T23:50:41.000Z,"Postcards: Amid pandemic and protest, Olympics return to a changed China. @SightMagazine #Postcards #BeijingOlympics #China #Xinjiang #Olympicprotests #Uyghurs #PengShuai #diplomaticboycottssightmagazine.com.ausightmagazine.com.auPostcards: Amid pandemic and protest, Olympics return to a changed ChinaPostcards: Amid pandemic and protest, Olympics return to a changed ChinaTONY MUNROE, of Reuters, reports from Beijing where the Winter Olympics open this week...TONY MUNROE, of Reuters, reports from Beijing where the Winter Olympics open this week...",552
Asiyah,2022-01-30T23:50:39.000Z,A hard thing about being sober is doing it in a pandemic then craving mulled wine on a cold winter's night,107
Bryan Yu,2022-01-30T23:50:39.000Z,"@EconDarylI agree with this- hybrid likely here to stay and we were already on that route pre- pandemic. Fully remote workforce? Do not see that happening- with churn in workforce, it just creates bottlenecks in training and  challenges in org culture. 2cents",259
Dan Conway,2022-01-30T23:50:32.000Z,"@AllIsFreeForMe@bradluttrellandand@jkishoreWas 2 weeks, i.e. time between gene sequencing release and first US case, sufficient time to prepare a pub. health response to a pandemic which was both foreseeable and foreseen? If not 2 weeks, was 2 months, i.e. time between genetic seq and 1st wave sufficient time to prepare?",322
Andy the Soarer,2022-01-30T23:50:27.000Z,"@ogugeoandand@senjalarsenリツイートしたい感じなのですが、""PANDEMIC PARADISE""の文字に違和感が。押し寄せるワクチン接種の圧力はたった一人でも押し返せる、という比喩を込めたanti-vax的動画なのかもしれないと躊躇いました。",133
Susannah Health & Wellness,2022-01-30T23:50:25.000Z,"@Prettya23324950@DrKidNurseand 2 othersUnvaxed, this entire 2 year pandemic, comprises just about all fatalities relating to Covid.",131
Denise Brumfield,2022-01-30T23:50:22.000Z,@patriottakesIt's a pandemic! Wear a mask! It's a shame you won’t wear a mask. Why won't you wear a mask?,105
Amy Lou,2022-01-30T23:50:20.000Z,@ArtysHouse@Bebert701and 47 othersThere wouldn't be myocarditis after infection if people were given early therapy.  The denial of early therapy created the pandemic and the jab program. How many dead or with long term illness for a sinister global plan to launch the social credit system. Millions murdered.,308
Donna Fender,2022-01-30T23:50:17.000Z,@RodneyC18186863Bravo to all the nurses who have worked their tails off during the pandemic.  You all deserve much respect,122
Ronald,2022-01-30T23:50:16.000Z,"@TheTweetOfRheaAfter two years of this pandemic and you’re asking us if we know someone that was hospitalized with cove at 19? Are you serious? This question must be a joke, right?",180
Alexandra Arrington,2022-01-30T23:50:15.000Z,"People have said it over and over and seems especially frequent in these pandemic times, but you can never fully what someone is going through. So many experiencing so much loss, and I mourn too, with them. Check on people!GIF",226
Yuman Fong,2022-01-30T23:50:15.000Z,"A decade ago we gave up skiing. Too hard to schedule with the kids and getting old. So glad the pandemic brought us back to the slopes. Great outdoor exercise with social distancing. This weekend, Deer Valley, Utah Olympic Park, and Organ recital at the Tabernacle. #RecoveryTimeNicole Bergman FongNicole Bergman Fong",317
Country girl,2022-01-30T23:50:12.000Z,"@melulaterI imagine most NZ citizens living overseas realize we are in a world wide pandemic and accept their fate. Eg. Friend in the US couldn't get back for  her father's funeral.  Not sure she tried. Saw it live on video. She has never complained, then she is a nurse  and understands.",288
CRE8NU2-Leonardo da Vinci,2022-01-30T23:50:12.000Z,"·@couchpotato4321@scotfaxand 48 othersTheir grasp of reality is weird. I think it’s the pandemic. The most embarrassing thing is, their crib sheet hasn’t changed. When the ref gets motoring, I doubt they have the nous to win the important arguments.",249
Rachel P.,2022-01-30T23:50:07.000Z,"@robinhoodieYeah, I mean I never ""partied"" in that sense, which is fine. I think I just miss being able to do stuff after 2+ years of pandemic life and also miss, like, having energy.",183
Buttered Jorts Ruffino,2022-01-30T23:50:05.000Z,"@harrisjMy read is that it’s aligned with how Sweden (ESPECIALLY tech folks) has treated awful people (quite well!) and how the far right has been met with so little resistance. In the beginning of covid I did a lot of “holy shit, are they gonna try to be neutral in…a pandemic???",280
ISA,2022-01-30T23:50:05.000Z,"As schools open for the 2022 year, more than half a million children are returning to Independent schools.  This pandemic continues, but so does growing up. #students #schools #independentschool",194
Deirdre Statham,2022-01-30T23:49:59.000Z,This tweet was brought to you by Deirdre’s Pandemic-Triggered Midlife Crisis.GIF,80
jay tay science,2022-01-30T23:49:59.000Z,"@MatthewHootonNZandand@CharlotteBellisthere will be no bravery till Australia also gives up the nonsense draconian powers crippling our economies needlessly. there is no health risk, overseas it's already lost pandemic status.",226
Jenni(fer) Schmitt,2022-01-30T23:49:59.000Z,"The Chiefs won a Super Bowl and ushered in a pandemic. 
I was truly hoping for them to win again this year so we could finally end it.",134
Nicole LeBlanc,2022-01-30T23:49:56.000Z,"MASK MANDATES MUST STAY IN PLACE IN ALL INDOOR CROWDED SETTINGS. Masking has also lead to LESS FLU, NOROVIRUS , COLDS SINCE pandemic began based on experienceQuote TweetStephanie TaitStephanie Tait@StephTaitWrites · Jan 30Let put it as clearly if I can:

If you drop mask mandates again, especially in schools, you will be forcing my family to decide which we think will harm my kids more - another year in isolation without socialization, or possibly losing their mom at a young age.Show this thread",500
Sam Lowe,2022-01-30T23:49:55.000Z,"@fascinatorfunI think there are separate issues around process, contracts for mates, quality control, etc. I just don’t think “bought too much” is a valid criticism given the context (pandemic).",194
Cheryl Marshall,2022-01-30T23:49:54.000Z,@Samanthasurveyoandand@BeschlossDCI'm quite sure the GOP thought they could handle Trump they found out quickly they couldn't and when the pandemic hit Trump fell apart,168
Stevie,2022-01-30T23:49:53.000Z,"When I think of everything that’s happened this decade (global pandemic, murder hornets, meth gators, protests & riots, the President suggesting people ingest bleach, horse paste, Jan. 6, etc.), by far the craziest, most unbelievable thing is: Super Bowl-bound Cincinnati Bengals.",280
Cui Bono | 'Freedom is a RW concept ',2022-01-30T23:49:53.000Z,"·Freeze dried food will be more valuable than cash or even silver & gold in a cyber-pandemic.

Vegetable and Fruit seeds too.

Propane doesn't spoil over time, Gas does.

A Lithium battery generator with with solar panels will come in handy.

Never hurts to anticipate.",269
THEE Dee from Iowa,2022-01-30T23:49:52.000Z,@davidguraandand@suekhiNice “both siding” there. Spotify has an obligation to shut down the lies. There are not two sides to a deadly pandemic.,143
Martin,2022-01-30T23:49:52.000Z,"@Kind_Geek@JobTrendrand 2 othersalready *knows* who they are.

Sir Tim Berners-Lee doesn't need to put ""inventor of the world wide web"" in his bio - everyone in the field *knows* he is.

Robert is so minor a figure he didn't even _have_ a Wikipedia entry until months into the pandemic - and only gained one",307
Patricia Tawney,2022-01-30T23:49:51.000Z,@Goatfoot123@giuliaheywardand 2 othersThat rediculous.  Covid is the enemy.  How about being a patriot and help the nation get over this and recover.  Your blame game is a tiresome as the pandemic.,197
Torr Leonard,2022-01-30T23:49:49.000Z,"“India Pandemic School Closings Imperil 'Demographic Dividend' - Pandemic school closures have harmed hundreds of millions of children in India, many of whom lack internet. 

Some have started scrounging for work.”nytimes.comnytimes.comIndia Schools Stay Closed, and Hopes Fade for a Lost GenerationIndia Schools Stay Closed, and Hopes Fade for a Lost GenerationA large proportion of working-age people, once seen as a demographic advantage, could turn into a burden if many of them are undereducated and underemployed.A large proportion of working-age people, once seen as a demographic advantage, could turn into a burden if many of them are undereducated and underemployed.",676
Lindsay,2022-01-30T23:49:48.000Z,"Holding a mass temper tantrum in Ottawa won’t end pandemic | The Starthestar.comthestar.comOpinion | Holding a mass temper tantrum in Ottawa, disguised as a street party, won’t end the...Opinion | Holding a mass temper tantrum in Ottawa, disguised as a street party, won’t end the...Despite some participants’ assurances to the contrary, this is not the face of the moderate, Canadian middle, writes Susan DelacourtDespite some participants’ assurances to the contrary, this is not the face of the moderate, Canadian middle, writes Susan Delacourt",547
Jaé Jaé,2022-01-30T23:49:45.000Z,"remember at the beginning of the pandemic when @mta was being extra diligent with cleaning the trains/subway? 
they absolutely just abandoned that, the subway is so fucking filthy I’m so disgusted when I have to take the train.",228
ZhongXii,2022-01-30T23:49:42.000Z,"+my grandma has lots of golden jewelry she had before, she sold it all for my dad since yk pandemic shit, that was like at 2019, so i must've forgotten, i was washing dishes and it was gone when i went to bed, i was looking for it everywhere, it couldn't have fallen off the sink+",280
ZhongXii,2022-01-30T23:49:40.000Z,"++was, i told her i saw it on the table where we ate, but before that all happened, i kinda bragged how it was only 8 shrimps, he said that he didn't have much money since yk pandemic and bosses, then now he asked me where it was too! I got mad and told him that it was on the+",277
Chef Sam,2022-01-30T23:49:38.000Z,"@samanthajcoupe@ERealamericanandand@tencor_7144No he hasnt.. the jobs he ""created"" were recovered from the pandemic.
Inflation has gone out of control under his economic policies",178
Carol Allen,2022-01-30T23:49:27.000Z,"ABSOLUTELY.. and concentrating on the pandemic response as if theyre our saviours BUT what about Rishi Sunak writing off his friends debts, what about the red bus that promised money for the NHS, what about Dido's promotion to the House etc etc.....Quote TweetBettina Struff #Woke #FBPE #FBPA #FBPRBettina Struff #Woke #FBPE #FBPA #FBPR@BettinaStruff · Jan 30andNot just lie and break though.

Lightly, trivially, unconcernedly, as if the rules either don't exist or don't matter at all. 

Or more likely, in their opinion, simply don't apply to 'important people' like themselves.",581
Maya Machacek,2022-01-30T23:49:26.000Z,#Covid19 An #Omicron subvariant rears its rapacious head.#OmicronVariant #Pandemic #PublicHealth #WHO #CDC #CovidVaccinesnpr.orgnpr.orgA second version of omicron is spreading. Here's why scientists are on alertA second version of omicron is spreading. Here's why scientists are on alertIt's a sibling of the first omicron variant that swept the world. Is it more contagious? Does it cause severe disease? Will it keep current omicron surges going? Researchers are looking for answers.It's a sibling of the first omicron variant that swept the world. Is it more contagious? Does it cause severe disease? Will it keep current omicron surges going? Researchers are looking for answers.,683
Heitor Paiva,2022-01-30T23:49:22.000Z,@anasalhajjiChinese petchem demand to manufacture masks and other pandemic related stuff.,89
Whatsinaname,2022-01-30T23:49:19.000Z,"@AlaskaMaeveandand@ClaudetteGGibs1Strong pull to act as if everything is normal while the shit is hitting the fan. It’s that pull that will be our demise. 

You see it with fascism, climate collapse, pandemic.",209
Unwilling member of the Donner Party,2022-01-30T23:49:17.000Z,@anniegirl1138andand@maxfawcettGood insight. Heard several people talk on how the pandemic has accelerated trends that were just starting especially in business.,161
PH,2022-01-30T23:49:13.000Z,@MarisaRanieri3There will be another pandemic sometime soon.. big big companies make too much money for there not to be another,127
Kathy R. Elect Dems. Don't whine. Act! Daily.,2022-01-30T23:49:11.000Z,"Sneak peek of the most fun online during a pandemic!@TheOnlyDetox @joeyjayisgay @bigandmilky @thebritafilter 

It's America Needs a Queen: Drag Queens Do Democracy... and Sports! 

Feb 3, 5p PT/8p ET http://#VoterizerQuote TweetField Team 6Field Team 6@fieldteam_6 · Jan 260:050:",279
the happiest duckling in town,2022-01-30T23:49:11.000Z,"@manatee73This has been an especially scary part of the pandemic for me.  Not only do I have to worry about my senior citizen mom catching COVID, but also that some asshat on the street will attack her for being Asian.",218
CT Scamping,2022-01-30T23:49:10.000Z,"@dave_bremmer@PaulBongiornoandand@RNBreakfastNot for the preferred PM! 50% vote for the leader only! Also, Murdoch, Palmer scares aren't able to manipulate the plebs as they did last time. Anyway, I wouldn't compare pre to post pandemic polling. So much has changed!",266
steph,2022-01-30T23:49:01.000Z,@thylacina21Things sure were different before the pandemic,59
Quimby's Bookstore,2022-01-30T23:48:56.000Z,"Next month, we’ll be discussing #zines that people have made about the COVID-19 pandemic. Mark your calendars for Tuesday, Feb. 22! More info at http:// and on the Zine Club Chicago social media channels: @zineclubchicago.#DIY #Chicago #Quimbys #QuimbysChicago",260
Alex Oliveira,2022-01-30T23:48:51.000Z,"Today on the podcast we talk with Ion Macovei, founder and CEO of @wash_chems about how having a solid vision and specific goals when starting a business is essential -- and why this is even more true when launching a business during a pandemic. #newepisode #podcast",266
Dr. Katie Witkiewitz,2022-01-30T23:48:49.000Z,@DrSalinasLabMaybe wish for a house husband? Or house wife? Or just more structural support for all parents trying to do academia in 2 years of a pandemic.,155
"Markus Muhs, CFP®, CIM®",2022-01-30T23:48:47.000Z,"Congrats on being POTUS the year the economy re-inflated after a pandemic-caused recession! Quote TweetPresident BidenPresident Biden@POTUSUnited States government official · Jan 29This didn’t happen by accident. Because of the actions we took, last year we achieved the fastest economic growth in nearly four decades.",318
jennifer evans,2022-01-30T23:48:22.000Z,"disturbing. that it is openly stated and the enthusiasm behind THAT, is genuinely frightening. hate is so incredibly alive and thriving in canada. THRIVING. i feel sick. 

another deeply disturbing pandemic occurrence. hope it wakes people up to reality. take action: report it.Quote TweetAndrea GunnAndrea Gunn@notandrea · Jan 30On the livestream just a few minutes ago. I bet she didn't expect to find anyone who identifies as a white supremacist so readily. He's even met with a few cheers. Whether or not there is a ""minority"" of voices parading around extreme views, ask yourself why they feel safe here.Show this thread",625
Wethersfield Patch,2022-01-30T23:48:21.000Z,"U.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.patch.compatch.comBank Branch Closures Hit Record: 59 In Connecticut ShutteredBank Branch Closures Hit Record: 59 In Connecticut ShutteredU.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.U.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.",519
budd,2022-01-30T23:48:20.000Z,@josh_justin@BaxterPeterbaandand@VicGovDHClearly We don’t but if you have been following this pandemic you would know that we follow the trend that happens there and implement changes accordingly,195
Farmington Patch,2022-01-30T23:48:20.000Z,"U.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.patch.compatch.comBank Branch Closures Hit Record: 59 In Connecticut ShutteredBank Branch Closures Hit Record: 59 In Connecticut ShutteredU.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.U.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.",519
Mount Vernon Patch,2022-01-30T23:48:19.000Z,"U.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.patch.compatch.comBank Branch Closures Hit Record: 59 In Connecticut ShutteredBank Branch Closures Hit Record: 59 In Connecticut ShutteredU.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.U.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.",519
Clinton Patch,2022-01-30T23:48:19.000Z,"U.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.patch.compatch.comBank Branch Closures Hit Record: 59 In Connecticut ShutteredBank Branch Closures Hit Record: 59 In Connecticut ShutteredU.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.U.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.",519
Aar Jae Wills They/Them,2022-01-30T23:48:18.000Z,@autisticlyaar@mjmarromand 2 othersFollowing suit. Also for new talent with streaming services and closure of music venues through the pandemic maybe services like band camp will be promoted to buy music from. I think from the business angle its stuff like this the art of purchasing an album is still alive,307
Liam Flynn,2022-01-30T23:48:18.000Z,Blame the prolonging of this pandemic on the unvaccinated.,58
TSU_Alumni East TN,2022-01-30T23:48:13.000Z,"TSU Students Excited to Return to Campus Amid Pandemic, Restrictions 

Read:tntribune.comtntribune.comTSU Students Excited to Return to Campus Amid Pandemic, Restrictions  - The Tennessee TribuneTSU Students Excited to Return to Campus Amid Pandemic, Restrictions  - The Tennessee TribuneBy Emmanuel Freeman NASHVILLE, TN (TSU News Service) — New and returning Tennessee State University students say they are glad to be back on campus despite continuing challenges posed by the pandem...By Emmanuel Freeman NASHVILLE, TN (TSU News Service) — New and returning Tennessee State University students say they are glad to be back on campus despite continuing challenges posed by the pandem...",688
Kevin Hoffman,2022-01-30T23:48:11.000Z,#PalaszczukQLDLaborGov used locked borders keeping people safe to win 2020 election. Her true nature was revealed with #LETitRipAnna policy.Pandemic could no longer be a smokescreen for chronic & devastating corrupt issues that are festering below the surface.  @AnnastaciaMP,275
RP Corp International Division,2022-01-30T23:48:10.000Z,"@DrHankodepends how quickly spotify back down, if at all! can't see Neil doing so easily. they're already talking about content advisory notes but i think for anything discussing the pandemic at all? it'd probably take some younger stars than Neil/Joni/Nils to get them to budge properly",287
@beckbeat,2022-01-30T23:48:08.000Z,"Back home. I had a great time playing music on Kauai. The audience was so appreciative and welcoming. Nobody was on their phones, everybody was there for the music! The pandemic's been hard on everybody, musicians included ... this was a real treat. Mahalo! #jazz #musiclife",274
Tommy 'Anti-stupid GOP' Borders,2022-01-30T23:48:05.000Z,"@RonFilipkowskiThankfully, the pandemic is over or I'd say a bunch of #Republicans in #Ohio will be coughing, wheezing and feverish in the nest few days.",153
defunct,2022-01-30T23:48:05.000Z,"@PaydenBeilhart1@DialecticDemonand 4 othersThe US is a failed state: worst death toll in a global pandemic, terrible on every metric imaginable for quality of life or prosperity, ""wealthy"" but rampant poverty and infrastructure decay (which proves the wealth is concentrated at the top), horrible healthcare. List goes on.",322
7jo,2022-01-30T23:48:02.000Z,i love how this pandemic gives me an excuse to stay away from people lolol,74
Roy Neal,2022-01-30T23:47:58.000Z,"@GOPChairwomanLol. Biden built best economy is 30+ years—during a pandemic, with a seditious opposition party in thrall to foreign powers trying to undermine him at every step. I'd say he's to be commended. GOP has no credibility whatsoever to toss rocks re: climate change. #GOPHypocrisy",288
Mel - Working Class Solidarity,2022-01-30T23:47:58.000Z,@LennyDykstraAre these white people angry about the small group of white billionaires who are looting us even more during a pandemic or what?,141
cher⁷ | check tweet,2022-01-30T23:47:58.000Z,"·fuck i'm here early at the city hall and turns out there's no free dental care ever since the pandemicpros: no shady clinic lol
cons: will have to spend money on a regular dental clinic",186
Morgan Fry,2022-01-30T23:47:57.000Z,@FoxNewsHuh. If only we’d crushed the pandemic from the start. But here we are because Republicans spread lies and killed Americans and our way of life.,152
vaccinated & keeping the mask on,2022-01-30T23:47:54.000Z,"USA is so screwed up. Healthcare system is broken, health insurance is broken. Why is it more important to rake in $ selling fake approach to ending pandemic. Why would nurses help people skip vaccinations - so they’ll have to go into same broken HC system when they do get sick.Quote TweetRon FilipkowskiRon Filipkowski@RonFilipkowski · Jan 30Two Long Island nurses have been charged with raking in over $1.5 million selling fake vaccine cards. $900k in cash was found in one of their homes. One nurse’s husband, a NYPD officer, is being investigated for possible involvement.",578
Val,2022-01-30T23:47:53.000Z,"@savitesvtOloko meu mano, 3° ano de pandemic já e vc nessa",58
tim jones,2022-01-30T23:47:53.000Z,#FANNIEGATE #KCA,17
biomimic,2022-01-30T23:47:49.000Z,"@iseeuliars@oatsntea1andand@ReneeWestberry1& much more likely to be undisturbed by both overt & covert justifications for ableism. 

& given the circumstances (lethal pandemic) a comment that our absence in her privileged spaces means “exactly nothing” to her is a statemnt that whether we live or die is irrelevant to her.",323
free clout.,2022-01-30T23:47:48.000Z,People prefer to sit at home durin the middle of a pandemic,59
Grouchy,2022-01-30T23:47:44.000Z,"@melinda_mosheimandand@BandyXLee1The hidden figures in the US and France are thought to be 70-90% from what I have read. I assume the same applies for Denmark, which in practical terms means most of the population has had Covid.

I believe Covid as a pandemic will be over in a few months.",289
NoelGuevara.ethᵍᵐ,2022-01-30T23:47:41.000Z,"@nguevaraphotoandand@jmpailhonFor the past 2 years, i havent had work because NGOs have shuttered and travel closed due to pandemic. Now, my last 3 NFT sales gave me funding to continue covering stories on ocean conservation. Sometimes the competition is yourself too, and NFTs drove me through.",295
